Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2022-05-31,113.220703125,115.18431484820356,111.54521130217331,112.21003212171203,50012000
2022-06-01,113.3500747680664,116.54430641015415,112.71113124806907,114.30849764115457,36606000
2022-06-02,117.06282806396484,117.33851047218953,112.40908243525307,113.45756701556255,37992000
2022-06-03,113.9959945678711,115.76802495065249,112.97836071006883,115.51025464447159,26136000
2022-06-06,116.26464080810547,118.77911596409213,115.6112628447547,116.14918784604028,33542000
2022-06-07,116.59207916259766,117.13100649382692,114.50456340116364,114.93102184671086,31590000
2022-06-08,116.63636016845703,118.00631339357457,116.04518481609796,116.2059153844314,26108000
2022-06-09,114.28909301757812,117.73611398435301,114.22987449001698,115.77399057256335,25798000
2022-06-10,110.632568359375,112.73999313613125,109.84085182107376,111.90996185455049,41452000
2022-06-13,105.88626098632812,108.27384044560415,105.61406382229377,106.27838344629973,47252000
2022-06-14,106.20772552490234,107.41097248913957,105.29658482140374,106.02808814729501,33706000
2022-06-15,109.24221801757812,110.89332070160148,107.1571853080472,108.02851540213744,39698000
2022-06-16,105.52897644042969,108.13153172918454,104.6377371893725,106.71082612689229,51684000
2022-06-17,106.6336898803711,108.18228586085846,104.54616658355276,105.528970887289,51376000
2022-06-21,111.01325225830078,111.95425661827566,108.08326009819567,108.41119057692619,47416000
2022-06-22,110.95701599121094,112.80716393802025,109.85727053284596,110.03044617871146,30774000
2022-06-23,111.70791625976562,112.20603825643137,109.97470957276036,111.69746816569209,28362000
2022-06-24,117.41365051269531,117.51715954815482,112.41504945457397,112.45735057227827,41164000
2022-06-27,115.2823486328125,118.01527730147949,114.63145354876544,117.7102399923707,36420000
2022-06-28,111.47454833984375,116.75132243650623,111.31580714736661,115.25148924100075,35792000
2022-06-29,111.16999816894531,112.62205554244028,110.3449403751085,111.02121152936431,24716000
2022-06-30,108.44452667236328,110.36037012107478,106.24205918177555,109.47659494140807,43170000
2022-07-01,108.22010803222656,108.73016641639377,106.22265397774427,107.41943163222562,35476000
2022-07-05,112.72406768798828,112.8375236690026,105.22840262829631,106.59089187479918,39342000
2022-07-06,114.02684020996094,115.0395005469071,110.94557098037903,112.76288648601033,37432000
2022-07-07,118.21780395507812,118.62237150865167,114.28710302372731,114.53242824450783,40936000
2022-07-08,118.78559112548828,119.11551098399944,116.34525479851375,116.69209965966292,38238000
2022-07-11,115.12609100341797,117.4365476052986,114.78173665895066,117.4365476052986,31196000
2022-07-12,113.47797393798828,116.41741959811824,113.14904875296558,115.66202835855137,29960000
2022-07-13,110.82366943359375,113.6526433234687,110.67239223936558,111.16951204592675,43722000
2022-07-14,109.84235382080078,110.56440377859388,107.85734476528513,109.68610316058955,37004000
2022-07-15,111.24563598632812,112.60215711200841,110.3723164753788,111.4675820742736,46770000
2022-07-18,108.51121520996094,113.13909122528293,107.85435955238535,112.10403881377384,43164600
2022-07-19,113.26846313476562,113.4774629947795,109.03868562268973,110.32254841399676,36530900
2022-07-20,113.35804748535156,114.85091025049731,111.94480589002251,112.63151759868653,35600400
2022-07-21,113.79594421386719,114.00495167460863,110.58131743938425,113.73623213542243,32676200
2022-07-22,107.38658905029297,111.80545736836784,105.9932490465555,110.47183703443812,48901200
2022-07-25,106.99844360351562,109.34721476148648,105.79420198666402,107.89416270496079,34690900
2022-07-26,104.5202865600586,106.68991390610014,103.57480992289085,106.09277036719988,47991000
2022-07-27,112.52203369140625,113.3679952824466,107.49606723707197,108.74011946731692,59858500
2022-07-28,113.67652130126953,113.79594545946627,110.92965176635761,111.83532546250933,32816600
2022-07-29,115.76652526855469,116.15466896108313,112.52203489140882,112.54194397943671,37223400
2022-08-01,114.3134765625,116.16462696340376,113.79594656165995,114.75138539504273,26034300
2022-08-02,114.58218383789062,115.79638002904798,113.17889687110984,113.4575633556852,20236000
2022-08-03,117.51815032958984,118.05558179795868,114.93052323947822,115.15942459504198,28499000
2022-08-04,117.62763214111328,118.21482116526452,116.33381474881479,116.92101136605847,21602900
2022-08-05,116.91105651855469,117.54801066886964,115.44804984442452,115.67695880145602,19159500
2022-08-08,116.74186706542969,119.57830469839134,116.32385973549923,117.82667699099878,19138300
2022-08-09,116.0750503540039,116.7617696373508,115.15942970493639,116.58262580661216,19086500
2022-08-10,119.13043975830078,120.34463596242325,117.84658452538288,118.21481912974991,30930400
2022-08-11,118.27452850341797,120.91192071702521,117.99586202223843,120.70292085614055,24293700
2022-08-12,121.10102081298828,121.10102081298828,118.89158283337814,119.6877792993413,19096300
2022-08-15,121.4991226196289,121.71807703386351,120.03611593641816,120.55363833935155,19494800
2022-08-16,121.12091827392578,121.84744809440268,120.06596444578726,120.9417744547049,19041200
2022-08-17,118.98115539550781,120.71287393111825,118.81195852562857,119.54844289474703,22847000
2022-08-18,119.59820556640625,120.2451142565541,118.15510799023149,118.86172875873096,17987700
2022-08-19,116.65229034423828,118.58306186399878,116.20443457194587,118.49348615368488,21809500
2022-08-22,113.69642639160156,115.07981195046679,113.30828267900442,114.65185765284781,21456600
2022-08-23,113.3182373046875,114.46276694733402,112.89028300676202,112.94004813634814,15870400
2022-08-24,113.14904022216797,114.23385011599804,112.33294226755979,112.9599418544723,17734600
2022-08-25,116.09496307373047,116.16462969935831,113.5670478689461,113.69642657565703,16956800
2022-08-26,109.81497192382812,114.57223390486655,109.66569173461427,114.17413568308152,37245700
2022-08-29,108.89935302734375,110.42207172581055,108.2823079873906,109.46664053448025,21191200
2022-08-30,108.42163848876953,109.97421318631635,107.2870635031635,109.64578158703776,27513300
2022-08-31,107.70506286621094,110.32254592222807,107.61548716074697,110.12350061045113,28627000
2022-09-01,109.21782684326172,109.9244475702192,106.84915422642854,107.76477480842202,28360900
2022-09-02,107.33682250976562,110.2130705944094,106.74963351488796,110.06378281149561,24160700
2022-09-06,106.30177307128906,107.51596926896929,105.27667524334035,106.78944701500801,25068300
2022-09-07,108.92921447753906,109.45669902186589,106.39135238503752,106.55058712829103,23167000
2022-09-08,107.86429595947266,109.07849208491766,106.65010742711948,107.52591741597058,24238300
