Datetime,Close,High,Low,Open,Volume
,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
2023-05-31 00:00:00+00:00,1904.9793701171875,1905.888427734375,1899.2650146484375,1901.0982666015625,0
2023-05-31 01:00:00+00:00,1903.4427490234375,1907.035400390625,1903.4017333984375,1905.1346435546875,0
2023-05-31 02:00:00+00:00,1895.9139404296875,1903.514892578125,1888.1484375,1903.514892578125,205916672
2023-05-31 03:00:00+00:00,1897.5057373046875,1898.111328125,1893.625732421875,1896.3482666015625,0
2023-05-31 04:00:00+00:00,1874.6419677734375,1898.074951171875,1874.6419677734375,1897.724609375,126561792
2023-05-31 05:00:00+00:00,1860.9620361328125,1874.8697509765625,1860.9620361328125,1873.399658203125,381633536
2023-05-31 06:00:00+00:00,1868.4598388671875,1868.4598388671875,1860.3719482421875,1863.97265625,321486848
2023-05-31 07:00:00+00:00,1870.1337890625,1874.0902099609375,1866.82470703125,1868.3260498046875,77377536
2023-05-31 08:00:00+00:00,1868.697265625,1873.2781982421875,1868.3258056640625,1869.1463623046875,94512128
2023-05-31 09:00:00+00:00,1870.5635986328125,1871.072998046875,1866.781005859375,1868.52001953125,14943744
2023-05-31 10:00:00+00:00,1865.9124755859375,1871.716064453125,1865.22265625,1870.589111328125,0
2023-05-31 11:00:00+00:00,1865.634033203125,1868.6422119140625,1863.480712890625,1865.721435546875,0
2023-05-31 12:00:00+00:00,1866.659423828125,1868.6488037109375,1863.818115234375,1865.5936279296875,0
2023-05-31 13:00:00+00:00,1870.0142822265625,1875.613525390625,1866.316650390625,1866.64990234375,0
2023-05-31 14:00:00+00:00,1862.1448974609375,1866.9296875,1852.0947265625,1866.9296875,167753728
2023-05-31 15:00:00+00:00,1859.2113037109375,1862.68505859375,1857.8267822265625,1861.719970703125,0
2023-05-31 16:00:00+00:00,1860.4825439453125,1862.4173583984375,1855.110107421875,1858.243408203125,0
2023-05-31 17:00:00+00:00,1866.442626953125,1867.3394775390625,1859.5885009765625,1860.2821044921875,0
